"title","production_company","release_date","running_time","country","language","imdb","metascore","rotten_tomatoes","directed_by","produced_by","written_by","based_on","starring","music_by","distributed_by","budget","box_office","story_by","narrated_by","cinematography","edited_by","screenplay_by","production_companies","adaptation_by"
"Academy Award Review of","Walt Disney Productions",1937-01-01,57.5,"United States","English",7.2,NA,NA,"","","","","","","",NA,NA,"","","","","","",""
"Snow White and the Seven Dwarfs","Walt Disney Productions",1937-01-01,83,"United States","English",7.6,95,NA,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']","Walt Disney","['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Snow White', 'by The', 'Brothers Grimm']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']","RKO Radio Pictures",149,418,"","","","","","",""
"Pinocchio","Walt Disney Productions",1940-01-01,88,"United States","English",7.4,99,100,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']","Walt Disney","","['The Adventures of Pinocchio', 'by', 'Carlo Collodi']","['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Paul J. Smith']","RKO Radio Pictures",26,164,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']","","","","","",""
"Fantasia","Walt Disney Productions",1940-01-01,126,"United States","English",7.8,96,95,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']","","","['Leopold Stokowski', 'Deems Taylor']","See program","['Walt Disney Productions', 'RKO Radio Pictures']",228,764833,"['Joe Grant', 'Dick Huemer']","Deems Taylor","James Wong Howe","","","",""
"The Reluctant Dragon","Walt Disney Productions",1941-01-01,74,"United States","English",6.9,NA,67,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']","Walt Disney","['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']","","['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']","RKO Radio Pictures",6e+05,960000,"","","Bert Giennon","Paul Weatherwax","","",""
"Dumbo","Walt Disney Productions",1941-01-01,64,"United States","English",7.2,96,98,"['Supervising director:', 'Ben Sharpsteen', 'Sequence directors:', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']","Walt Disney","","['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']","['Edward Brophy', 'Herman Bing', 'Margaret Wright', 'Sterling Holloway', 'Verna Felton', 'Cliff Edwards', 'James Baskett', 'Nick Stewart', 'Hall Johnson', 'Jim Carmichael']","['Frank Churchill', 'Oliver Wallace']","RKO Radio Pictures",950000,131941,"['Otto Englander', 'Joe Grant', 'Dick Huemer']","John McLeish","","","","",""
"Bambi","Walt Disney Productions",1942-01-01,70,"United States","English",7.3,91,90,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']","Walt Disney","","['Bambi, a Life in the Woods', 'by', 'Felix Salten']","see below","['Frank Churchill', 'Edward H. Plumb']","RKO Radio Pictures",858000,2674,"['Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']","","","","","",""
"Saludos Amigos","Walt Disney Productions",1942-01-01,42,"United States","['English', 'Portuguese', 'Spanish']",6.1,60,83,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']","Walt Disney","","","['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']","RKO Radio Pictures",NA,1135000,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']","Fred Shields","","","","",""
"Victory Through Air Power","Walt Disney Productions",1943-01-01,65,"United States","English",6.5,NA,NA,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']","Walt Disney","['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']","Victory Through Air Power by Maj. Alexander P. Seversky","Alexander de Seversky","['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']","United Artists",788000,799000,"","Art Baker","Ray Rennahan","Jack Dennis","","",""
"The Three Caballeros","Walt Disney Productions",1944-01-01,71,"United States","['English', 'Spanish', 'Portuguese']",6.4,85,82,"['Norman Ferguson (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young (sequence directors)']","Walt Disney","","","['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']","RKO Radio Pictures",NA,3355000,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']","","","","","",""
